,Case Number,Date,Year,Type,Country,Activity,Injury,Fatal,Time,Species,Shark Sizes
1132,2007.07.21,21-Jul-07,2007,Boat,USA,Other activities,"No injury, kayak bitten",N,10h15,White Shark,BIG SHARK
1134,2007.07.19.a,19-Jul-2007.a,2007,Unprovoked,AUSTRALIA,Other activities,Calf bitten,N,11h00,Bronze Shark,MIDDLE SHARK
1135,2007.07.18.b,18-Jul-07,2007,Unprovoked,USA,Swimming,Right calf bitten,N,12h30,BIG SHARK,BIG SHARK
1136,2007.07.18.a,18-Jul-07,2007,Provoked,NORWAY,Other activities,PROVOKED INCIDENT           No injury. Diver touched 'dead' shark; shark bit his equipment-covered arm,N,,BIG SHARK,BIG SHARK
1138,2007.07.17.a,17-Jul-07,2007,Unprovoked,USA,Other activities,Lacerations to right thigh & left foot,N,13h00,BIG SHARK,BIG SHARK
1139,2007.07.10,10-Jul-07,2007,Unprovoked,BAHAMAS,Other activities,"Lacerations to thumb, ring and pinky fingers of right hand ",N,11h00,Bull Shark,SMALL SHARK
1141,2007.07.04,04-Jul-07,2007,Unprovoked,REUNION,Other activities,Minor injuries to thigh & knee ,N,14h30,BIG SHARK,BIG SHARK
1143,2007.06.30.b,30-Jun-07,2007,Provoked,USA,Other activities,Lacerations to right  hand by hooked shark PROVOKED INCIDENT,N,,Lemon Shark,MIDDLE SHARK
1145,2007.06.25,25-Jun-07,2007,Unprovoked,USA,Surfing,6 to 8 puncture wounds to right hand,N,17h30,BIG SHARK,BIG SHARK
1146,2007.06.24,24-Jun-07,2007,Unprovoked,USA,Surfing,"No injury, board damaged",N,07h05,Tiger Shark,MIDDLE SHARK
1148,2007.06.12,12-Jun-07,2007,Unprovoked,USA,Swimming,Right foot bitten,N,11h00,BIG SHARK,BIG SHARK
1151,2007.05.24,24-May-07,2007,Provoked,USA,Other activities,Left shin bitten by captive shark PROVOKED INCIDENT,N,Morning,Blacktip Shark,SMALL SHARK
1154,2007.05.12,12-May-07,2007,Unprovoked,AUSTRALIA,Surfing,"No injury, shark's fin caught his leg",N,17h45,BIG SHARK,BIG SHARK
1155,2007.05.10,10-May-07,2007,Unprovoked,USA,Surfing,Knee bitten,N,16h00,BIG SHARK,BIG SHARK
1156,2007.05.09.R,Reported 09-May-2007,2007,Unprovoked,SEYCHELLES,Other activities,No injury,N,,White Shark,BIG SHARK
1158,2007.05.07.b,07-May-07,2007,Unprovoked,USA,Other activities,Right foot bitten,N,08h30,Tiger Shark,MIDDLE SHARK
1159,2007.05.07.a,07-May-07,2007,Unprovoked,USA,Swimming,Circular bite on left thigh,N,08h30,BIG SHARK,BIG SHARK
1161,2007.05.00,May-07,2007,Provoked,BAHAMAS,Other activities,Lacerations to right upper arm by captive shark PROVOKED INCIDENT,N,,Lemon Shark,MIDDLE SHARK
1162,2007.04.26,26-Apr-07,2007,Unprovoked,AUSTRALIA,Swimming,Lower leg & foot injured,N,18h00,SMALL SHARK,SMALL SHARK
1163,2007.04.22,22-Apr-07,2007,Unprovoked,USA,Other activities,Left foot bitten,N,12h30,Blacktip Shark,SMALL SHARK
1164,2007.04.20,20-Apr-07,2007,Unprovoked,USA,Surfing,Lacerations to left index finger & thumb ,N,17h00,BIG SHARK,BIG SHARK
1165,2007.04.13.R,Reported      13-Apr-2007,2007,Boat,USA,Other activities,"No injury to occupants, shark holed the transom-mounted livewell ",N,,Bull Shark,SMALL SHARK
1166,2007.04.09,09-Apr-07,2007,Unprovoked,NEW CALEDONIA,Surfing,Left foot bitten,N,16h00,Tiger Shark,MIDDLE SHARK
1168,2007.03.31.b,31-Mar-07,2007,Unprovoked,USA,Surfing,Lacerations to right ankle ,N,14h20,BIG SHARK,BIG SHARK
1171,2007.03.21,21-Mar-07,2007,Unprovoked,USA,Surfing,Punctures & lacerations to right calf & calf,N,Evening,BIG SHARK,BIG SHARK
1173,2007.03.14.R,Reported 14-Mar-2007,2007,Provoked,USA,Other activities,Right hand bitten by hooked shark PROVOKED INCIDENT,N,,BIG SHARK,BIG SHARK
1176,2007.03.05.R,Reported 05-Mar-2007,2007,Provoked,NEW ZEALAND,Other activities,Leg bitten  by shark after he shot at it & missed  PROVOKED INCIDENT,N,,Tiger Shark,MIDDLE SHARK
1180,2007.01.25.b,25-Jan-07,2007,Unprovoked,NEW CALEDONIA,Other activities,Leg bitten,N,14h00,Tiger Shark,MIDDLE SHARK
1181,2007.01.25.a,25-Jan-07,2007,Boat,USA,Other activities,"A large shark rammed boat, breaking prop shaft. No injury to occupants but boat sank several hours later",N,03h30,BIG SHARK,BIG SHARK
1182,2007.01.23,23-Jan-07,2007,Unprovoked,AUSTRALIA,Other activities,Head & torso bitten,N,10h30,White Shark,BIG SHARK
1184,2007.01.14,14-Jan-07,2007,Unprovoked,SOUTH AFRICA,Swimming,"Presumed FATAL, body not recovered",Y,Afternoon,Tiger Shark,MIDDLE SHARK
1185,2007.01.09,09-Jan-07,2007,Unprovoked,AUSTRALIA,Surfing,"No injury, shark damaged surfboard",N,06h30,MIDDLE SHARK,MIDDLE SHARK
1187,2007.01.05,01-Jan-07,2007,Unprovoked,USA,Surfing,"No injury, shark removed piece of surfboard",N,10h15,Tiger Shark,MIDDLE SHARK
1188,2006.12.18,18-Dec-06,2006,Unprovoked,AUSTRALIA,Surfing,Left leg bitten,N,20h00,MIDDLE SHARK,MIDDLE SHARK
1189,2006.12.11,11-Dec-06,2006,Unprovoked,NEW ZEALAND,Surfing,Foot bitten,N,11h00,MIDDLE SHARK,MIDDLE SHARK
1190,2006.12.10,10-Dec-06,2006,Unprovoked,USA,Surfing,"Minor injuries, surfboard bitten",N,11h50,White Shark,BIG SHARK
1191,2006.12.06,06-Dec-06,2006,Provoked,SOUTH AFRICA,Other activities,"Hand, thigh & calf bitten by hooked shark PROVOKED INCIDENT",N,"""Evening""",Raggedtooth Shark,Raggedtooth Shark
1192,2006.12.02,02-Dec-06,2006,Unprovoked,AUSTRALIA,Other activities,"Right leg severed, left leg lacerated",N,07h30,White Shark,BIG SHARK
1194,2006.11.11,11-Nov-06,2006,Unprovoked,USA,Swimming,Laceration to left thigh & left hand,N,12h30,BIG SHARK,BIG SHARK
1195,2006.11.09,09-Nov-06,2006,Provoked,SOUTH AFRICA,Other activities,Left arm lacerated when he grabbed shark by its tail PROVOKED INCIDENT,N,Afternoon,Bull Shark,SMALL SHARK
1196,2006.10.31,31-Oct-06,2006,Unprovoked,USA,Surfing,"No injury, surfboard bitten",N,Just before sundown,White Shark,BIG SHARK
1199,2006.10.07,07-Oct-06,2006,Unprovoked,USA,Surfing,Lacerations to lower left leg,N,,BIG SHARK,BIG SHARK
1200,2006.10.05,05-Oct-06,2006,Unprovoked,USA,Other activities,Lacerations to foot,N,12h00,BIG SHARK,BIG SHARK
1205,2006.09.18.R,Reported 18-Sep-2006,2006,Provoked,USA,Other activities,Lacerations to upper lip    PROVOKED INCIDENT,N,,Nurse Shark,MIDDLE SHARK
1208,2006.09.11,11-Sep-06,2006,Unprovoked,USA,Surfing,Left torso grazed,N,,BIG SHARK,BIG SHARK
1211,2006.09.03.a,03-Sep-06,2006,Unprovoked,USA,Other activities,Puncture wounds and cuts to right thigh,N,17h30,BIG SHARK,BIG SHARK
1213,2006.09.02,02-Sep-06,2006,Unprovoked,SOUTH AFRICA,Surfing,"No injury, shark rammed surfboard",N,,White Shark,BIG SHARK
1215,2006.08.29.a,29-Aug-06,2006,Unprovoked,AUSTRALIA,Surfing,"No injury, shark towed  surfer & board",N,16h00,Bronze Shark,MIDDLE SHARK
1222,2006.08.13,13-Aug-06,2006,Unprovoked,SOUTH AFRICA,Other activities,Foot severed,N,11h00,White Shark,BIG SHARK
1224,2006.08.00.a,Early Aug-2006,2006,Unprovoked,REUNION,Other activities,Thigh bitten,N,,Bull Shark,SMALL SHARK
1225,2006.07.31.R,31-Jul-06,2006,Provoked,USA,Other activities,"Minor injuries, similar to paper cuts from the captive sharks  PROVOKED INCIDENTS",N,,SMALL SHARK,SMALL SHARK
1226,2006.07.31.a,31-Jul-06,2006,Unprovoked,USA,Surfing,Minor injury,N,16h00,White Shark,BIG SHARK
1227,2006.07.29.b,29-Jul-06,2006,Invalid,USA,Other activities,"Bruises, laceration to head, spinal cord injury & neck broken at C5/C6 ",N,Afternoon,Mako Shark,SMALL SHARK
1229,2006.07.28,28-Jul-06,2006,Unprovoked,SOUTH AFRICA,Surfing,"No injury, surf ski bitten",N,16h30,White Shark,BIG SHARK
1231,2006.07.23,23-Jul-06,2006,Unprovoked,USA,Surfing,Right foot bitten,N,,Bull Shark,SMALL SHARK
1233,2006.07.17,17-Jul-06,2006,Unprovoked,USA,Other activities,Left ankle & foot bitten,N,10h00,Angel Shark,SMALL SHARK
1234,2006.07.13,13-Jul-06,2006,Invalid,SPAIN,Swimming,Hand & wrist severely bitten,N,,Blue Shark,MIDDLE SHARK
1236,2006.07.10,10-Jul-06,2006,Unprovoked,BRAZIL,Other activities,FATAL,Y,,Tiger Shark,MIDDLE SHARK
1239,2006.07.08.b,08-Jul-06,2006,Unprovoked,USA,Other activities,Foot bitten,N,11h00,Bull Shark,SMALL SHARK
1241,2006.06.30.b,Jul-06,2006,Unprovoked,USA,Other activities,Lacerations & puncture wound  to arm,N,,Blacktip Shark,SMALL SHARK
1242,2006.06.30.a,Jul-06,2006,Unprovoked,USA,Other activities,Minor injuries,N,,Blacktip Shark,SMALL SHARK
1246,2006.06.20,20-Jun-06,2006,Unprovoked,USA,Surfing,2-inch puncture wounds on right foot,N,13h00,Blacktip Shark,SMALL SHARK
1249,2006.06.15,15-Jun-06,2006,Unprovoked,USA,Surfing,Four 1-inch puncture wounds on left foot ,N,15h30,BIG SHARK,BIG SHARK
1250,2006.06.07,07-Jun-06,2006,Unprovoked,USA,Other activities,Lacerations & puncture wounds to left foot & buttocks,N,13h45,BIG SHARK,BIG SHARK
1251,2006.06.05,05-Jun-06,2006,Unprovoked,AUSTRALIA,Surfing,"No injury, knocked off surfboard",N,11h30,White Shark,BIG SHARK
1252,2006.05.31,31-May-06,2006,Unprovoked,USA,Other activities,"4"" laceration to left forearm",N,13h30,Tiger Shark,MIDDLE SHARK
1253,2006.05.28,28-May-06,2006,Provoked,USA,Other activities,"No injury to occupants, boat damaged by hooked shark PROVOKED INCIDENT",N,Afternoon,Tiger Shark,MIDDLE SHARK
1255,2006.05.24,24-May-06,2006,Provoked,USA,Other activities,Knee bitten after diver poked shark PROVOKED INCIDENT,N,16h30,Grey Shark,SMALL SHARK
1257,2006.05.19,19-May-06,2006,Unprovoked,USA,Other activities,Laceration to leg,N,15h30,Tiger Shark,MIDDLE SHARK
1260,2006.05.02,02-May-06,2006,Provoked,AUSTRALIA,Other activities,Abrasion & 6 puncture wounds on chest after grabbing the shark by its tail PROVOKED INCIDENT,N,16h30,Wobbegong Shark,SMALL SHARK
1264,2006.04.13,13-Apr-06,2006,Provoked,USA,Other activities,3 to 4 cm laceration on foot from hooked shark brought on board PROVOKED INCIDENT,N,Afternoon,Bull Shark,SMALL SHARK
1265,2006.04.11,11-Apr-06,2006,Unprovoked,AUSTRALIA,Surfing,Minor laceration to left foot,N,13h30,Bronze Shark,MIDDLE SHARK
1266,2006.04.09.b,09-Apr-06,2006,Unprovoked,SOUTH AFRICA,Other activities,Leg bitten,N,17h30,Raggedtooth Shark,Raggedtooth Shark
1267,2006.04.09.a,09-Apr-06,2006,Unprovoked,BRAZIL,Swimming,Left leg bitten,N,Afternoon,Tiger Shark,MIDDLE SHARK
1269,2006.03.28.R,Reported  28-Mar-2006,2006,Unprovoked,Sierra Leone,Other activities,Reportedly FATAL but few details,Y,,MIDDLE SHARK,MIDDLE SHARK
1270,2006.03.23,23-Mar-06,2006,Unprovoked,USA,Surfing,5 puncture wounds in left calf,N,11h30,Tiger Shark,MIDDLE SHARK
1272,2006.03.19,18-Mar-06,2006,Unprovoked,FIJI,Surfing,Lacerations to right hand,N,18h00,Tiger Shark,MIDDLE SHARK
1273,2006.03.15,15-Mar-06,2006,Unprovoked,AUSTRALIA,Surfing,"No injury, shark nudged surfboard",N,17h00,Bronze Shark,MIDDLE SHARK
1274,2006.02.27,27-Feb-06,2006,Unprovoked,USA,Other activities,Deep laceration to right calf,N,16h30,BIG SHARK,BIG SHARK
1278,2006.02.12.a,12-Feb-06,2006,Boat,AUSTRALIA,Other activities,No injury to occupants; shark nudged the 5.3 m boat,N,12h00,White Shark,BIG SHARK
1279,2006.02.08,08-Feb-06,2006,Unprovoked,SOUTH AFRICA,Surfing,2 bite marks on right calf,N,Late afternoon,Raggedtooth Shark,Raggedtooth Shark
1280,2006.02.01.b,01-Feb-06,2006,Unprovoked,TONGA,Swimming,Severe bite to right leg FATAL,Y,18h00,Tiger Shark,MIDDLE SHARK
1281,2006.02.01.a,01-Feb-06,2006,Boat,USA,Other activities,No injury to occupant; shark bumped the kayak repeatedly for 15 minutes,N,Afternoon,BIG SHARK,BIG SHARK
1282,2006.01.28.R,Reported 28-Jan-2006,2006,Boat,ATLANTIC OCEAN,Other activities,No injury to occupants; shark rammed boat repeatedly,N,,BIG SHARK,BIG SHARK
1286,2006.01.15,15-Jan-06,2006,Unprovoked,AUSTRALIA,Other activities,Lacerations to left elbow,N,11h00,White Shark,BIG SHARK
1288,2006.01.07,07-Jan-06,2006,Unprovoked,AUSTRALIA,Swimming,FATAL,Y,17h15,Bull Shark,SMALL SHARK
1289,2006.01.04,04-Jan-06,2006,Unprovoked,USA,Surfing,3 puncture wounds in right wrist & hand,N,16h45,BIG SHARK,BIG SHARK
1291,2005.12.24,24-Dec-05,2005,Unprovoked,USA,Surfing,Lacerations to ankle & calf,N,12h00,White Shark,BIG SHARK
1292,2005.12.21,21-Dec-05,2005,Unprovoked,USA,Swimming,Left hand bitten,N,11h45,Tiger Shark,MIDDLE SHARK
1293,2005.12.20,20-Dec-05,2005,Boat,ATLANTIC OCEAN,Other activities,"No injury to occupants, shark rammed boat for 15 minutes",N,13h30,MIDDLE SHARK,MIDDLE SHARK
1294,2005.12.11,11-Dec-05,2005,Unprovoked,AUSTRALIA,Other activities,Right forearm & elbow bitten,N,11h00,White Shark,BIG SHARK
1295,2005.12.05.R,Reported 06-Dec-2005,2005,Boat,AUSTRALIA,Other activities,"No injury to occupants, hydrofoil of outboard motor bitten ",N,15h30,White Shark,BIG SHARK
1297,2005.11.27,27-Nov-05,2005,Unprovoked,USA,Surfing,Right thumb & palm lacerated,N,13h00,BIG SHARK,BIG SHARK
1298,2005.11.25.c,25-Nov-05,2005,Boat,AUSTRALIA,Other activities,"No injury to occupant, shark bit outboard motor",N,,White Shark,BIG SHARK
1302,2005.11.21,21-Nov-05,2005,Unprovoked,USA,Surfing,Left foot bitten,N,Afternoon,BIG SHARK,BIG SHARK
1304,2005.11.16.R,Reported  16-Nov-2005,2005,Boat,NEW CALEDONIA,Other activities,"No injury to occupants, shark lifted bow of boat 3 times",N,,White Shark,BIG SHARK
1305,2005.11.15,15-Nov-05,2005,Provoked,SOUTH AFRICA,Other activities,Lacerations to hands & right leg when he tried to pull shark from the water PROVOKED INCIDENT,N,14h00,Raggedtooth Shark,Raggedtooth Shark
1306,2005.11.12,12-Nov-05,2005,Unprovoked,USA,Surfing,Puncture wounds to right foot,N,13h00,BIG SHARK,BIG SHARK
1308,2005.11.02.a,02-Nov-05,2005,Unprovoked,USA,Surfing,"No injury, board bumped",N,07h15,White Shark,BIG SHARK
1309,2005.10.29,29-Oct-05,2005,Unprovoked,USA,Other activities,Puncture wounds to foot,N,,BIG SHARK,BIG SHARK
1310,2005.10.25,25-Oct-05,2005,Unprovoked,ST. MAARTIN,Other activities,Lower right leg lacerated,N,08h00,BIG SHARK,BIG SHARK
1311,2005.10.22,22-Oct-05,2005,Unprovoked,SOUTH AFRICA,Surfing,Right foot bitten,N,Morning,MIDDLE SHARK,MIDDLE SHARK
1312,2005.10.21,21-Oct-05,2005,Unprovoked,USA,Surfing,No injury,N,11h00,White Shark,BIG SHARK
1313,2005.10.19,19-Oct-05,2005,Unprovoked,USA,Surfing,Leg bitten,N,10h30,White Shark,BIG SHARK
1315,2005.10.13,13-Oct-05,2005,Unprovoked,USA,Surfing,"No injury, surfboard bitten",N,18h00,Tiger Shark,MIDDLE SHARK
1316,2005.10.11,11-Oct-05,2005,Unprovoked,GRAND CAYMAN,Other activities,No injury ,N,15h00,Caribbean Reef Shark,SMALL SHARK
1319,2005.10.01,01-Oct-05,2005,Unprovoked,SOUTH AFRICA,Surfing,"No injury, shark bit ski",N,15h00,White Shark,BIG SHARK
1320,2005.09.27.R,Reported      27-Sep-2005,2005,Unprovoked,AUSTRALIA,Surfing,"No injury, knocked off board",N,,Tiger Shark,MIDDLE SHARK
1321,2005.09.24,24-Sep-05,2005,Unprovoked,AUSTRALIA,Surfing,Lacerations to legs,N,12h05,White Shark,BIG SHARK
1322,2005.09.23,23-Sep-05,2005,Unprovoked,AUSTRALIA,Surfing, No injury,N,Morning,Bronze Shark,MIDDLE SHARK
1324,2005.09.20,20-Sep-05,2005,Unprovoked,USA,Surfing,"Injuries to fingers, calf  & heel",N,16h30,BIG SHARK,BIG SHARK
1327,2005.09.05,05-Sep-05,2005,Unprovoked,USA,Other activities,Calf severely lacerated,N,15h20,Bull Shark,SMALL SHARK
1328,2005.09.04.a,04-Sep-05,2005,Unprovoked,AUSTRALIA,Surfing,Lacerations to right arm & thigh,N,15h00,White Shark,BIG SHARK
1330,2005.09.02.a,02-Sep-05,2005,Provoked,THAILAND,Other activities,FATAL PROVOKED INCIDENT,Y,,BIG SHARK,BIG SHARK
1331,2005.08.24.b,24-Aug-05,2005,Unprovoked,AUSTRALIA,Other activities,FATAL,Y,16h10,White Shark,BIG SHARK
1332,2005.08.24.a,24-Aug-05,2005,Unprovoked,USA,Surfing,Lower right leg lacerated,N,11h00,White Shark,BIG SHARK
1333,2005.08.22,22-Aug-05,2005,Invalid,USA,Other activities,Laceration to knee,N,Afternoon,Blacktip Shark,SMALL SHARK
1334,2005.08.21,21-Aug-05,2005,Unprovoked,USA,Swimming,Bitten underneath left arm,N,Morning,Sand Shark,MIDDLE SHARK
1337,2005.08.12,12-Aug-05,2005,Unprovoked,USA,Surfing,Laceration on right wrist & crescent of puncture wounds on  forearm ,N,11h30,BIG SHARK,BIG SHARK
1339,2005.08.01,01-Aug-05,2005,Invalid,Seychelles,Other activities,"FATAL, shark involvement prior to death is unconfirmed",Y,,Bull Shark,SMALL SHARK
1344,2005.07.17.a,17-Jul-05,2005,Provoked,CHINA,Other activities,2 small cuts on right ear & head when he collided with the captive shark. PROVOKED INCIDENT,N,,BIG SHARK,BIG SHARK
1346,2005.07.15,15-Jul-05,2005,Unprovoked,USA,Swimming,Lacerations of left forearm,N,16h40,BIG SHARK,BIG SHARK
1347,2005.07.13,13-Jul-05,2005,Unprovoked,USA,Other activities,Left foot bitten,N,13h00,BIG SHARK,BIG SHARK
1349,2005.06.27,27-Jun-05,2005,Unprovoked,USA,Other activities,"Leg severely bitten, surgically amputated",N,11h30,Bull Shark,SMALL SHARK
1350,2005.06.25,25-Jun-05,2005,Unprovoked,USA,Swimming,"FATAL, leg bitten",Y,11h15,Bull Shark,SMALL SHARK
1355,2005.06.13,13-Jun-05,2005,Unprovoked,SOUTH KOREA,Other activities,Knee bitten,N,,White Shark,BIG SHARK
1357,2005.06.05,05-Jun-05,2005,Invalid,USA,Surfing,Dorsum of foot/ankle  injured by surfboard skeg or other inanimate object.,N,11h00,White Shark,BIG SHARK
1358,2005.06.04,04-Jun-05,2005,Unprovoked,SOUTH AFRICA,Other activities,FATAL,Y,15h45,White Shark,BIG SHARK
1360,2005.05.28,28-May-05,2005,Unprovoked,USA,Swimming,Left foot bitten,N,17h30,SMALL SHARK,SMALL SHARK
1362,2005.05.25,25-May-05,2005,Unprovoked,SOUTH AFRICA,Surfing,Left buttock  & legs lacerated ,N,11h00,Raggedtooth Shark,Raggedtooth Shark
1363,2005.05.15,15-May-05,2005,Unprovoked,AUSTRALIA,Other activities,Severe injury to lower leg,N,,Blacktip Shark,SMALL SHARK
1364,2005.05.14,14-May-05,2005,Unprovoked,USA,Other activities,"No injury, shark bit kayak",N,11h00,Tiger Shark,MIDDLE SHARK
1367,2005.05.02,02-May-05,2005,Unprovoked,USA,Surfing,"No injury, board damaged",N,10h30,Tiger Shark,MIDDLE SHARK
1368,2005.04.25,25-Apr-05,2005,Provoked,AUSTRALIA,Other activities,Laceration on left thigh PROVOKED INCIDENT,N,23h00,Mako Shark,SMALL SHARK
1370,2005.04.16.b,16-Apr-05,2005,Unprovoked,AUSTRALIA,Other activities,Minor cuts above his right eye,N,,BIG SHARK,BIG SHARK
1371,2005.04.16.a,16-Apr-05,2005,Unprovoked,AUSTRALIA,Surfing,"No injury, board bitten",N,06h10,Bronze Shark,MIDDLE SHARK
1372,2005.04.13,13-Apr-05,2005,Unprovoked,USA,Other activities,Right lower leg bitten,N,,Blacktip Shark,SMALL SHARK
1375,2005.04.06,06-Apr-05,2005,Unprovoked,USA,Other activities,Left calf injured,N,,Hammerhead Shark,BIG SHARK
1377,2005.03.28,28-Mar-05,2005,Unprovoked,SOUTH AFRICA,Surfing,"Lacerations to right calf, puncture wounds on right foot",N,09h45,BIG SHARK,BIG SHARK
1380,2005.03.19,19-Mar-05,2005,Unprovoked,AUSTRALIA,Other activities,FATAL,Y,14h00,White Shark,BIG SHARK
1381,2005.03.12,12-Mar-05,2005,Provoked,USA,Other activities,2 punctures on forearm as captive shark collided with diver PROVOKED INCIDENT,N,15h30,Tiger Shark,MIDDLE SHARK
1382,2005.03.10,10-Mar-05,2005,Invalid,SOUTH AFRICA,Other activities,Shark bites post mortem,N,,Tiger Shark,MIDDLE SHARK
1383,2005.03.09,09-Mar-05,2005,Provoked,NEW ZEALAND,Other activities,"No injury, netted shark dragged them 350 metres out to sea PROVOKED INCIDENT",N,14h00,Bronze Shark,MIDDLE SHARK
1385,2005.02.26,26-Feb-05,2005,Unprovoked,AUSTRALIA,Swimming,Finger bitten,N,,Bull Shark,SMALL SHARK
1386,2005.02.22,22-Feb-05,2005,Provoked,USA,Other activities,Speared shark bit his chest PROVOKED INCIDENT,N,,Nurse Shark,MIDDLE SHARK
1387,2005.02.16,16-Feb-05,2005,Unprovoked,USA,Surfing,"No injury, knocked off board, shark bit board",N,14h30,Tiger Shark,MIDDLE SHARK
1388,2005.02.13,13-Feb-05,2005,Unprovoked,USA,Other activities,Hand bitten,N,,Caribbean Reef Shark,SMALL SHARK
1390,2005.01.20,20-Jan-05,2005,Unprovoked,CUBA,Swimming,Left foot severed,N,,BIG SHARK,BIG SHARK
1391,2005.01.19,19-Jan-05,2005,Provoked,AUSTRALIA,Other activities,No injury. Towed by speared shark PROVOKED INCIDENT,N,,MIDDLE SHARK,MIDDLE SHARK
1392,2005.01.14,14-Jan-05,2005,Provoked,AUSTRALIA,Other activities,"No injury to occupants, one of the boat's flotation tanks holed PROVOKED INCIDENT",N,14h00,Bronze Shark,MIDDLE SHARK
1393,2005.01.08,08-Jan-05,2005,Unprovoked,NEW ZEALAND,Other activities,"No injury, kayak bumped repeatedly",N,12h00,White Shark,BIG SHARK
1395,2004.12.16,16-Dec-04,2004,Unprovoked,AUSTRALIA,Surfing,FATAL,Y,15h15,White Shark,BIG SHARK
1396,2004.12.11,11-Dec-04,2004,Unprovoked,AUSTRALIA,Other activities,"FATAL, leg bitten",Y,13h00,Bull Shark,SMALL SHARK
1397,2004.11.27,27-Nov-04,2004,Unprovoked,SOUTH AFRICA,Surfing,3 lacerations on foot,N,18h00,Raggedtooth Shark,Raggedtooth Shark
1398,2004.11.26,26-Nov-04,2004,Unprovoked,SOUTH AFRICA,Other activities,Lacerations on lower leg & foot,N,,Raggedtooth Shark,Raggedtooth Shark
1399,2004.11.15,15-Nov-04,2004,Unprovoked,SOUTH AFRICA,Swimming,FATAL,Y,07h00,White Shark,BIG SHARK
1400,2004.11.11.b,11-Nov-04,2004,Unprovoked,USA,Surfing,"Lacerations to hand, knee & thigh ",N,13h30,White Shark,BIG SHARK
1402,2004.11.00,Nov-04,2004,Unprovoked,NEW CALEDONIA,Other activities,Forearm bitten,N,,MIDDLE SHARK,MIDDLE SHARK
1403,2004.10.31,31-Oct-04,2004,Unprovoked,CUBA,Other activities,Left forearm bitten,N,14h00,Bull Shark,SMALL SHARK
1404,2004.10.30.x,30-Oct-04,2004,Invalid,NEW ZEALAND,Other activities,No injury,N,,White Shark,BIG SHARK
1405,2004.10.30.a,30-Oct-04,2004,Unprovoked,SOUTH AFRICA,Other activities,Right ankle & foot lacerated,N,Morning,White Shark,BIG SHARK
1406,2004.10.21,21-Oct-04,2004,Unprovoked,AUSTRALIA,Surfing,Right foot lacerated,N,Afternoon,Bronze Shark,MIDDLE SHARK
1407,2004.10.10,10-Oct-04,2004,Unprovoked,USA,Surfing,Lower leg bitten,N,09h30,White Shark,BIG SHARK
1408,2004.10.09.b,09-Oct-04,2004,Unprovoked,USA,Other activities,Left shoulder bitten,N,12h40,Tiger Shark,MIDDLE SHARK
1409,2004.10.09.a,09-Oct-04,2004,Unprovoked,SOUTH AFRICA,Surfing,Puncture wounds on right foot,N,Morning,Raggedtooth Shark,Raggedtooth Shark
1410,2004.10.06,06-Oct-04,2004,Unprovoked,REUNION,Other activities,"Leg severely bitten, surgically amputated",N,16h15,Tiger Shark,MIDDLE SHARK
1413,2004.09.25,25-Sep-04,2004,Boat,AUSTRALIA,Other activities,"No injury to occupants, boat damaged",N,12h00,Tiger Shark,MIDDLE SHARK
1414,2004.09.20,20-Sep-04,2004,Unprovoked,USA,Surfing,Leg bitten,N,09h00,White Shark,BIG SHARK
1417,2004.09.04,04-Sep-04,2004,Unprovoked,USA,Other activities,Left knee & leg bitten,N,15h40,MIDDLE SHARK,MIDDLE SHARK
1419,2004.08.21,21-Aug-04,2004,Unprovoked,BRAZIL,Other activities,Calf bitten & both hands injured,N,13h00,Tiger Shark,MIDDLE SHARK
