,Month,Year,Type,Country,Area,Activity,Sex,Injury,Fatal,original order
3506,Nov,1963,Provoked,USA,Florida,Testing anti-shark cage,M,No injury PROVOKED INCIDENT,N,2487
3507,Nov,1963,Unprovoked,PAPUA NEW GUINEA,New Britain,Wading,M,Thigh lacerated ,N,2486
3508,Nov,1963,Unprovoked,PALAU,Western Caroline Islands,Fishing,M,Left calf lacerated,N,2485
3509,Oct,1963,Unprovoked,USA,Florida,"Surf fishing, wading ",M,"Right thigh &  foot bruised, right calf  lacerated",N,2484
3510,Oct,1963,Provoked,NORTH PACIFIC OCEAN,,Fishing for sharks,M,"Right hand lacerated, PROVOKED INCIDENT",N,2483
3511,Sep,1963,Unprovoked,CHILE,,Spearfishing / free diving,M,FATAL,Y,2482
3513,Sep,1963,Unprovoked,SOLOMON ISLANDS,Ysabel Island,Spearing fish,M,"FATAL, right thigh, calf & foot bitten ",Y,2480
3514,Sep,1963,Provoked,AUSTRALIA,New South Wales,Surfing,M,"A ""dead"" shark grabbed by the tail bit his right torso PROVOKED INCIDENT",N,2479
3515,Sep,1963,Provoked,USA,Florida,"Spearfishing, pulled shark�s tail",M,Minor injury to left forearm  PROVOKED INCIDENT,N,2478
3516,Aug,1963,Unprovoked,DOMINICAN REPUBLIC,Santo Domingo,"Swimming, when caught in heavy seas",M,"FATAL. Eyewitness said, ""One was thrown in the air like a basketball, and while in the air another shark took a bite out of his belly."" ",Y,2477
3517,Jul,1963,Unprovoked,FEDERATED STATES OF MICRONESIA,Eastern Caroline Islands,Spearfishing,M,Upper left arm bitten,N,2476
3518,Jul,1963,Unprovoked,USA,Florida,Bathing,M,"Left forearm bitten, surgically amputated?",N,2475
3519,Jul,1963,Provoked,USA,Mississippi,"Fishing, on charter boat Silver Dollar",M,"Cuts on right hand, PROVOKED INCIDENT",N,2474
3521,Jul,1963,Unprovoked,PANAMA,San Blas coast,"Seining for bait, standing in chest-deep water",M,"FATAL, foot nearly severed ",Y,2472
3522,Jun,1963,Unprovoked,GREECE,Thessaly,Swimming,F,FATAL,Y,2471
3523,Jun,1963,Provoked,PAPUA NEW GUINEA,Central Province,Fishing,M,"Hooked shark bit his nose, arm and leg PROVOKED INCIDENT",N,2470
3524,May,1963,Invalid,USA,California,Swimming,M,3 lacerations below right knee,N,2469
3526,Apr,1963,Provoked,AUSTRALIA,New South Wales,Fishing,M,Foot lacerated by netted shark PROVOKED INCIDENT,N,2467
3527,Apr,1963,Unprovoked,USA,US Virgin Islands,Swimming,M,"FATAL, hand severed, shoulder, hip, foot, thigh bitten & femoral artery severed  ",Y,2466
3528,Apr,1963,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,Buttock bitten,N,2465
3529,Apr,1963,Unprovoked,AUSTRALIA,Western Australia,"Surfing on ""chest board"" (boogie board?)",M,Arm bitten,N,2464
3530,Apr,1963,Unprovoked,USA,Hawaii,Surfing ,M,Left foot & leg bitten,N,2463
3531,Apr,1963,Invalid,USA,Hawaii,Washed into sea while picking opihi,M,"May have drowned prior to shark involvement, partial remains recovered",Y,2462
3532,Mar,1963,Sea Disaster,SOLOMON ISLANDS,Bougainville (North Solomons),The 500-ton coastal trader Polurrian foundered ,M,FATAL,Y,2461
3533,Feb,1963,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,Swimming,M,Right shoulder bitten,N,2460
3534,Feb,1963,Unprovoked,AUSTRALIA,New South Wales,Spearfishing,M,Left leg lacerated,N,2459
3535,Feb,1963,Unprovoked,FIJI,Lomaiviti  Island Group,Spearfishing,M,Left arm bitten,N,2458
3536,Feb,1963,Unprovoked,MAURITIUS,Rodrigues,,M,Laceration to right forearm,N,2457
3537,Feb,1963,Invalid,USA,Florida,"S.S. Marine Sulphur Queen, laden with molten sulphur was bound from Beaumont, Texas for Norfolk, VA, when she disappeared with 39 on board",M,Shark involvement unconfirmed. Two shark-bitten lifejackets were recovered leading to speculation that sharks took at least 2 of the 39 missing crewmen,Y,2456
3538,Jan,1963,Unprovoked,FIJI,,Freediving,M,Hand & arm severely lacerated,N,2455
3539,Jan,1963,Unprovoked,AUSTRALIA,New South Wales,Wading,F,"FATAL, right femoral artery severed, thigh, calf, buttock & left hand bitten  ",Y,2454
3540,Jan,1963,Invalid,AUSTRALIA,New South Wales,Swimming,M,"9' shark in area when he disappeared, body not recovered",Y,2453
3543,Jan,1963,Provoked,SOUTH AFRICA,Eastern Cape Province,Fishing,M,Foot bitten by shark hooked & taken on boat  PROVOKED INCIDENT,N,2450
3544,Jan,1963,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Free diving, hunting crayfish",M,Lacerations & punctures on left  forearm,N,2449
3545,Jan,1963,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,M,Lacerations to right  arm,N,2448
3550,Dec,1962,Provoked,SOUTH AFRICA,KwaZulu-Natal,Scuba diving,M,Captive shark bit air hose & minor lacerations on diver's cheek PROVOKED INCIDENT,N,2443
3551,Dec,1962,Unprovoked,AUSTRALIA,South Australia,Spearfishing,M,"FATAL, right leg bitten thigh to calf  ",Y,2442
3553,Nov,1962,Unprovoked,AUSTRALIA,New South Wales,"Spearfishing, Scuba diving",M,"No injury, shark bit spear & dragged diver 90'",N,2440
3554,Nov,1962,Invalid,AUSTRALIA,Queensland,,M,"Skeletonized, except for head & feet. Possible drowning / scavenging",Y,2439
3555,Nov,1962,Unprovoked,USA,California,Spearfishing / Scuba diving (at surface),M,"Arm, hand, buttock, leg and thigh bitten",N,2438
3557,Nov,1962,Sea Disaster,MID ATLANTIC OCEAN,,Abandoning burning ship Captain George in raging seas,M,"No injury, shark bit his boot",N,2436
3558,Oct,1962,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,M,Arm lacerated (minor injury),N,2435
3559,Oct,1962,Unprovoked,MEXICO,Veracruz,Wading,M,"FATAL, both legs bitten  ",Y,2434
3560,Oct,1962,Unprovoked,ADMIRALTY ISLANDS,Manus Island,,M,Facial lacerations,N,2433
3561,Oct,1962,Boat,AUSTRALIA,South Australia,Adrift after wave swamped engine,M,"No injury to occupant, shark ""nibbled"" at boat",N,2432
3562,Oct,1962,Invalid,USA,California,"Overcome by CO fumes, fell overboard from 36' fishing cruiser & prop slashed arm",F,Drowned due to CO2 poisoning - Post Mortem Scavaging,N,2431
3563,Oct,1962,Unprovoked,PANAMA,Pinas Bay,Sitting in shallows,M,"FATAL, body not recovered",Y,2430
3564,Sep,1962,Unprovoked,BRITISH WEST INDIES,Grand Turk Island,Spearfishing,M,Left thigh & hand & speargun bitten,N,2429
3565,Sep,1962,Unprovoked,MEXICO,Veracruz,Swimming,M,"Left arm severely bitten, surgically amputated",N,2428
3566,Sep,1962,Unprovoked,SOUTH ATLANTIC OCEAN,Off coast of West Africa,"When  a deckhand  jumped overboard, McIver dived after him with a rescue line.",M,"FATAL, he died within minutes of being hauled back onboard the Stirling Castle",Y,2427
3567,Sep,1962,Unprovoked,ITALY,Tyrrhenian Sea,Spearfishing with Scuba gear,M,"FATAL, multiple injuries to both legs  ",Y,2426
3568,Aug,1962,Provoked,ISRAEL,Sharon,Fishing,M,"Details unknown, possibly a PROVOKED INCIDENT",UNKNOWN,2425
3569,Aug,1962,Boat,TURKEY,Antalya Province,,M,No injury ,N,2424
3570,Aug,1962,Provoked,PAPUA NEW GUINEA,Northern District,Fishing,M,Posterior lower left leg lacerated by netted shark PROVOKED INCIDENT,N,2423
3571,Aug,1962,Provoked,USA,California,Diving for abalone,M,"Struck shark with abalone bar to scare it away from abalone, but shark bit his shoulder  PROVOKED INCIDENT",N,2422
3574,Aug,1962,Unprovoked,USA,Texas,Surf fishing in waist-deep water,M,"FATAL, lower right leg bitten",Y,2419
3575,Aug,1962,Unprovoked,USA,New Jersey,Standing,M,Left thigh & hand bitten,N,2418
3576,Aug,1962,Unprovoked,PAPUA NEW GUINEA,"New Ireland Province, Bismarck Archipelago",Spearfishing,M,"FATAL, right thigh severely bitten, right ankle lacerated ",Y,2417
3577,Aug,1962,Unprovoked,ITALY,Tyrrhenian Sea,Diving,M,No injury,N,2416
3578,Aug,1962,Unprovoked,SENEGAL,Cap Vert Peninsula,Beach seine netting,M,Ankle bitten,N,2415
3579,Jul,1962,Unprovoked,USA,South Carolina,Standing,M,Lacerations on left foot & hand,N,2414
3580,Jul,1962,Provoked,MADAGASCAR,,Finning the shark,M,Right calf lacerated by boated shark PROVOKED INCIDENT,N,2413
3581,Jul,1962,Provoked,USA,California,Fishing for albacore,M,"2 lacerations on left hand by hooked shark, PROVOKED INCIDENT",N,2412
3582,Jul,1962,Unprovoked,USA,Georgia,Playing in surf with his child  (9),M,"Cuts on fingers, hand & wrist",N,2411
3583,Jul,1962,Unprovoked,USA,Georgia,Dived from inner-tube,M,Laceration on hand,N,2410
3585,Jun,1962,Invalid,USA,Florida,U.S. Airforce crewman reported missing after bailing out of jet,M,FATAL,Y,2408
3587,Jun,1962,Unprovoked,USA,Florida,Rolled off raft,M,"8"" laceration on left calf",N,2406
3588,Jun,1962,Unprovoked,USA,California,Escaping from Alacatraz,M,2 toes bitten off ,N,2405
3589,Jun,1962,Unprovoked,USA,California,Escaping from Alacatraz,M,"FATAL, but shark involvement uncomfirmed. Death may have been due to drowning.",Y,2404
3590,Jun,1962,Unprovoked,USA,California,Escaping from Alacatraz,M,"FATAL, but shark involvement uncomfirmed. Death may have been due to drowning.",Y,2403
3591,Jun,1962,Unprovoked,PAPUA NEW GUINEA,Madang Province,Washing,M,"FATAL, chest & leg bitten ",Y,2402
3592,Jun,1962,Unprovoked,USA,South Carolina,Standing,M,Thigh bitten,N,2401
3594,Jun,1962,Provoked,USA,California,"Scuba diving, attempting to catch a captive shark",M,Right forearm bitten PROVOKED INCIDENT,N,2399
3595,Jun,1962,Unprovoked,USA,Florida,Free diving,M,Left foot bitten,N,2398
3596,May,1962,Unprovoked,USA,Florida,,M,Bitten on leg or ankle,N,2397
3600,Apr,1962,Unprovoked,MOZAMBIQUE,Gaza,Swimming,M,"Leg bitten, surgically amputated at knee",N,2393
3601,Apr,1962,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Wading,M,Left ankle & foot bitten,N,2392
3603,Mar,1962,Provoked,NEW ZEALAND,"Off the Coromandel Peninsula, North Island",,M,Left foot bitten by hooked shark PROVOKED INCIDENT,N,2390
3605,Mar,1962,Unprovoked,PAPUA NEW GUINEA,Madang,Swimming,M,"FATAL, calf bitten, other leg severed below knee",Y,2388
3606,Feb,1962,Unprovoked,PAPUA NEW GUINEA,Central Province,Swimming along a row of nets,M,Torso lacerated,N,2387
3607,Feb,1962,Provoked,NEW ZEALAND,Southland,Swimming,M,"Mistook shark's tail for kelp & grabbed it, legs abraded by shark's fins PROVOKED INCIDENT",N,2386
3608,Feb,1962,Unprovoked,AUSTRALIA,Queensland,Fishing for snappers & cleaning mullet. Put mullet over side of boat to wash it,M,Middle finger of right hand lacerated,N,2385
3609,Feb,1962,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,"FATAL, calf bitten twice",Y,2384
3610,Feb,1962,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Treading water,M,"FATAL, tissue removed from thigh, femoral artery severed ",Y,2383
3611,Feb,1962,Unprovoked,AUSTRALIA,Queensland,Swimming,M,Shin bitten,N,2382
3613,Feb,1962,Unprovoked,SOLOMON ISLANDS,Guadalcanal Province,Swimming outside fishing net,M,"FATAL, shoulder & thigh bitten ",Y,2380
3614,Jan,1962,Unprovoked,NEW ZEALAND,South Island,Splashing ,M,"Left hand injured: gash on back of hand, toothmarks on palm",N,2379
3615,Jan,1962,Unprovoked,MOZAMBIQUE,Gaza,,M,,UNKNOWN,2378
3616,Jan,1962,Provoked,AUSTRALIA,New South Wales,Spearfishing,M,Suffered from shock & immersion after being dragged underwater  by speared shark PROVOKED INCIDENT,N,2377
3617,Jan,1962,Invalid,SOUTH AFRICA,KwaZulu-Natal,"Fishing, slipped on rocks & fell into sea",M,Possible drowning / post mortem scavenging,Y,2376
3619,Jan,1962,Unprovoked,NEW ZEALAND,North Island,Spearfishing,M,Shark struck him on shoulder injuring skin under suit,N,2374
3620,Jan,1962,Unprovoked,USA,California,Spearfishing / Scuba diving (at surface),M,Buttock bitten & major leg wound,N,2373
3622,Jan,1962,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Dorsum of foot lacerated & toe severed,N,2371
3624,Jan,1962,Unprovoked,PAPUA NEW GUINEA,"10�S, 142�E",Spearfishing,M,Left leg & buttocks bitten,N,2369
3625,Jan,1962,Unprovoked,NEW ZEALAND,South Island,Surf fishing,F,Right foot lacerated ,N,2368
3627,Jan,1962,Invalid,AUSTRALIA,New South Wales,Swimming,M,"Remains recovered from shark, but shark involvement prior to death unconfirmed",Y,2366
3632,Jan,1962,Unprovoked,MARSHALL ISLANDS,Kwajalein Atoll,Fishing with hand net in 2' of water,M,"2.5"" laceration on right hand",N,2361
3636,Dec,1961,Unprovoked,AUSTRALIA,Queensland,Standing,F,"FATAL, right arm severed at shoulder, left hand severed, right thigh bitten & surgically amputated.  Died  day after the attack",Y,2357
3637,Dec,1961,Unprovoked,AUSTRALIA,Queensland,Standing,M,"Hand bitten, surgically amputated",N,2356
3638,Dec,1961,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Treading water,M,Lower right leg & ankle bitten,N,2355
3639,Dec,1961,Provoked,AUSTRALIA,Western Australia,Spearfishing,M,"No injury, Parker shot the shark when it came close to his nephew, Bill Bradbury (14), then the shark bent his speargun PROVOKED INCIDENT",N,2354
3641,Dec,1961,Unprovoked,MOZAMBIQUE,Gaza,Bathing,M,His left leg was severely bitten,N,2352
3642,Dec,1961,Unprovoked,AUSTRALIA,Queensland,"Surfing, pushing board ashore",M,"FATAL, right wrist and hand bitten, left leg severed above knee ",Y,2351
3643,Dec,1961,Unprovoked,AUSTRALIA,Torres Strait,Swimming with other crew near wharf,M,Right thigh and leg lacerated,N,2350
3645,Oct,1961,Unprovoked,PHILIPPINES,Western Luzon Island,Gathering shells,M,Right leg severed,N,2348
3646,Oct,1961,Invalid,USA,Florida,Swimming,M,"Skeletonized, but shark involvement may have occurred after death.",Y,2347
3647,Oct,1961,Boat,VANUATU,Shefa Province,Paddling outrigger canoe,M,"No injury to occupant, canoe  bitten & overturned by shark",N,2346
3648,Oct,1961,Unprovoked,USA,Florida,,M,"FATAL. His body washed ashore, presumed shark attack",Y,2345
3649,Sep,1961,Provoked,USA,Florida,,M,Foot & lower leg abraded and lacerated when he kicked the shark PROVOKED INCIDENT,N,2344
3650,Sep,1961,Unprovoked,CROATIA,Primorje-Gorski Kotar County ,Swimming,M,"FATAL, hand severed & legs bitten  ",Y,2343
3651,Sep,1961,Provoked,TANZANIA,,Fishing,M,PROVOKED INCIDENT Right hand severed by hooked shark,N,2342
3652,Sep,1961,Unprovoked,MID ATLANTIC OCEAN,165  miles from Bermuda,"Survived US Naval aircraft crash, climbing onboard rescue vessel when he fell back into sea ",M,Right shoulder blade  & back lacerated,N,2341
3653,Sep,1961,Unprovoked,PERSIAN GULF,25 km off the coast of Iran & 483km from mouth of Persian Gulf,"Free diving, surveying a pipeline & examing cathodes under jetty",M,"3"" cut on sole of foot",N,2340
3654,Sep,1961,Provoked,ITALY,Venice Province,Fishing,M,Left foot & right hand bitten by netted shark PROVOKED INCIDENT,N,2339
3656,Aug,1961,Unprovoked,USA,California,Swimming,M,"Foot, leg  & groin lacerated",N,2337
3657,Aug,1961,Unprovoked,USA,South Carolina,Wading,M,"Right arm bitten. Left leg bitten, surgically amputated ",N,2336
3658,Aug,1961,Unprovoked,BERMUDA,,Spearfishing,M,Right hand lacerated,N,2335
3659,Aug,1961,Unprovoked,USA,Hawaii,"Net fishing, picking catch from the net",M,Hand bitten,N,2334
3660,Aug,1961,Provoked,PAPUA NEW GUINEA,Sandaun Province,"Fishing, two large sharks passed. He speared one and it bit him",M,Thigh lacerated PROVOKED INCIDENT,N,2333
3661,Jul,1961,Provoked,USA,New York,Spearfishing,M,Puncture wound on right shin & fingers lacerated by speared shark PROVOKED INCIDENT,N,2332
3662,Jul,1971,Unprovoked,TURKEY,Anatolia,Swimming,M,Left leg injured,N,2331
3664,Jul,1961,Unprovoked,ITALY,Adriatic Sea,Spearfishing,M,Foot bitten,N,2329
3665,Jul,1961,Provoked,PANAMA,,Fishing (trolling)  from canoe,M,"FATAL, hooked shark pulled him into the water PROVOKED INCIDENT",Y,2328
3666,Jun,1961,Unprovoked,USA,Florida,Scuba diving & spearfishing ,M,"FATAL, arm severed & left side of torso removed ",Y,2327
3667,Jun,1961,Unprovoked,USA,Florida,Standing,M,Lacerations to left leg,N,2326
3668,Jun,1961,Boat,USA,Florida,Spearfishing on Scuba,M,"No injury to diver or occupants of the boat, shark butted boat ",N,2325
3669,Jun,1961,Unprovoked,NEW BRITAIN,East New Britain Province,Spearfishing,M,Minor injuries to arm,N,2324
3670,Jun,1961,Provoked,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province","Fishing, speared shark upset canoe & man fell in water",M,"Left thigh severely bitten, but he regained  the canoe, then shark bit canoe PROVOKED INCIDENT",N,2323
3671,May,1961,Unprovoked,USA,California,Free diving for abalone,M,"No injury, wetsuit bitten",N,2322
3672,May,1961,Unprovoked,NEW BRITAIN,East New Britain Province,Collecting dynamited fish,M,Thumb & 2 fingers severed,N,2321
3673,May,1961,Unprovoked,USA,Florida,Walking in chest-deep water,M,Middle finger of left hand & right forearm lacerated,N,2320
3674,May,1961,Provoked,AUSTRALIA,Western Australia,Spearfishing,M,"No injury, speared shark hit speargun PROVOKED INCIDENT",N,2319
3675,Apr,1961,Invalid,USA,Florida,Splashing ,M,Abdomen abraded,N,2318
3676,Apr,1961,Provoked,AUSTRALIA,New South Wales,Spearfishing,M,Speared shark bit Davy's ankle &  Pierpont's right leg  PROVOKED INCIDENT,N,2317
3677,Apr,1961,Unprovoked,MOZAMBIQUE,Gaza,Swimming,M,"Multiple injuries to both hands, left leg & foot",N,2316
3678,Apr,1961,Provoked,SOUTH AFRICA,Eastern Cape Province,Diving,M,Shark bit swimfin after diver kicked shark PROVOKED INCIDENT,N,2315
3679,Apr,1961,Unprovoked,USA,Florida,Spearfishing,M,Thigh bitten,N,2314
3680,Apr,1961,Provoked,AUSTRALIA,New South Wales,Spearfishing,M,Speared shark bit his foot  PROVOKED INCIDENT,N,2313
3681,Apr,1961,Unprovoked,AUSTRALIA,New South Wales,"Checking fish traps, fell into the water",M,Tiny cuts & bruises on neck  ,N,2312
3682,Apr,1961,Unprovoked,MOZAMBIQUE,Gaza,"Swimming, using bundles of sticks as raft",M,"FATAL, extensive abdominal wounds, died 4 days later  ",Y,2311
3684,Apr,1961,Unprovoked,AUSTRALIA,Victoria,Spearfishing,M,"No injury, right sleeve of wetsuit ripped, weight on belt gashed",N,2309
3685,Apr,1961,Provoked,AUSTRALIA,Western Australia,Spearfishing,M,Speared shark bit his arm & seat of pants of diving suit  PROVOKED INCIDENT,N,2308
3686,Mar,1961,Unprovoked,AUSTRALIA,South Australia,Spearfishing,M,"Shark took his entire catch, lacerated his knee and tore his wet suit as it brushed past him",N,2307
3687,Mar,1961,Unprovoked,AUSTRALIA,Victoria,Swimming,M,"Abdomen & arm bitten. Shark, holding him by the arm, leapt 4' to 5' above the surface",N,2306
3688,Mar,1961,Provoked,AUSTRALIA,Western Australia,Fishing from dinghy,F,Hooked shark hauled on board bit her foot PROVOKED INCIDENT,N,2305
3689,Mar,1961,Unprovoked,AUSTRALIA,South Australia,Spearfishing,M,Left leg bitten  & left forearm lacerated,N,2304
3690,Mar,1961,Unprovoked,NORTH PACIFIC OCEAN,Wake Island (EnenKio),Free diving,M,Right elbow bitten,N,2303
3691,Mar,1961,Provoked,SOUTH AFRICA,KwaZulu-Natal,Fishing,M,Landed shark in boat bit his left leg  PROVOKED INCIDENT,N,2302
3692,Mar,1961,Unprovoked,FIJI,"19S, 178?E",Floating on back,M,Right forearm bitten,N,2301
3693,Feb,1961,Provoked,USA,Pennsylvania,Cleaning a tank,M,Thumb lacerated by captive shark PROVOKED INCIDENT,N,2300
3694,Feb,1961,Unprovoked,AUSTRALIA,Victoria,Standing,F,"Ankle bitten by small �gummy� shark, minor injury",N,2299
3695,Feb,1961,Unprovoked,JAMAICA,,,M,FATAL,Y,2298
3696,Feb,1961,Unprovoked,SOUTH AFRICA,Western Cape Province,"Spearfishing, shark grabbed his white t-shirt and towed him ",M,Torso bruised & abraded ,N,2297
3697,Feb,1961,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,M,"FATAL, multiple injuries to both legs, feet & left arm  ",Y,2296
3698,Feb,1961,Unprovoked,AUSTRALIA,Western Australia,Collecting crayfish,M,No injury,N,2295
3699,Feb,1961,Invalid,USA,California,,M,Considered a doubtful incident,N,2294
3701,Jan,1961,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,Left thigh bitten ,N,2292
3702,Jan,1961,Provoked,AUSTRALIA,New South Wales,Collecting aquarium specimens,M,Right calf  bitten by lassoed shark on deck of surf ski PROVOKED INCIDENT,N,2291
3703,Jan,1961,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Standing,M,"Right foot, leg and hand bitten",N,2290
3705,Jan,1961,Provoked,AUSTRALIA,Northern Territory,Fishing,M,Finger bitten by hooked shark PROVOKED INCIDENT,N,2288
3706,Jan,1961,Unprovoked,MOZAMBIQUE,Limpopo River,Swimming,M,Leg bitten ,N,2287
3707,Jan,1961,Unprovoked,SOUTH AFRICA,Western Cape Province,Standing,M,"Lower left leg bitten, abrasions on back of right leg",N,2286
3711,Jan,1961,Unprovoked,COLUMBIA,Roncador Bank,Taking boat from California to Florida when it ran aground & he was swimming back to boat,M,Leg bitten,N,2282
3715,Dec,1960,Unprovoked,USA,Hawaii,Swept out to sea while net fishing,M,"FATAL  Shark seen attacking Riley, body recovered off Nanakuli",Y,2278
3716,Dec,1960,Unprovoked,AUSTRALIA,New South Wales,,F,"Shark brushed past, minor injuries if any",N,2277
3717,Dec,1960,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,"FATAL, legs severed ",Y,2276
3718,Dec,1960,Unprovoked,AUSTRALIA,Queensland,"Fishing, when line became snagged on rock & he dived into water to free it ",M,Left thigh lacerated,N,2275
3719,Dec,1960,Unprovoked,AUSTRALIA,Queensland,Fishing,M,Bitten & survived,N,2274
3720,Nov,1960,Unprovoked,AUSTRALIA,Queensland,Swimming,M,Right shoulder lacerated,N,2273
3721,Nov,1960,Invalid,USA,Florida,"Fell overboard, prop slashed arm",F,"FATAL, probable drowning & post mortem scavenging",Y,2272
3722,Nov,1960,Provoked,AUSTRALIA,Queensland,Chasing shark out of bathing area while riding on a surf-ski,M,"Shark knocked him off surf-ski, he inhaled water & had to be resuscitated PROVOKED INCIDENT",N,2271
3723,Nov,1960,Unprovoked,AUSTRALIA,Western Australia,"Spearfishing, speared fish retreated to cave where shark grabbed his arm",M,Scratches on right upper arm,N,2270
3725,Nov,1960,Provoked,NEW GUINEA,Western District,,M,Left wrist bitten by netted shark placed in bottom of dinghy PROVOKED INCIDENT,N,2268
3726,Nov,1960,Unprovoked,PAPUA NEW GUINEA,Central Province,Fishing,M,"FATAL, severely bitten genitals & thighs ",Y,2267
3727,Oct,1960,Sea Disaster,USA,California,Ejected from F3H-2 aircraft ,M,"No injury, shark hit his foot & circled",N,2266
3729,Oct,1960,Invalid,AUSTRALIA,New South Wales,Fishing,M,"Swept off rocks & presumed to have drowned, shark seen in area",N,2264
3730,Oct,1960,Unprovoked,PAPUA NEW GUINEA,New Britain,Collecting shells,M,Injuries to leg & foot,N,2263
3731,Oct,1960,Sea Disaster,RED SEA / INDIAN OCEAN,Enroute from Suez to Aden (Yemen),Cargo ship El Gamil entroute Suez to Yemen (Aden) when her cargo shifted and she sank. 19 Egyption sailors jumped into the water and swam for several hours before being bitten by sharks,M,"Sharks attacked sailors in the water, several survivors picked up",Y,2262
3732,Oct,1960,Invalid,USA,Florida,Diving,M,"Apparently went missing while diving. Helicopter searching for him spotted school of sharks attacking a ""white object"" 15' below the surface",Y,2261
3734,Oct,1960,Invalid,JOHNSTON ISLAND,,"Free diving / photography, kneeling on sand",M,"No injury, shark made threat display",N,2259
3735,Sep,1960,Provoked,USA,South Carolina,Fishing inside net,M,"Multiple superficial lacerations of leg, arm & hand PROVOKED INCIDENT",N,2258
3736,Sep,1960,Sea Disaster,PACIFIC OCEAN,180 miles southeast of Okinawa,R5D aircraft went down with 29 on board,M,One body sighted but not recovered due to shark activity,N,2257
3738,Sep,1960,Invalid,MARSHALL ISLANDS,Eniwetok Atoll,Free diving / Spearfishing,M,"No injury, shark made a threat display",N,2255
3739,Sep,1960,Invalid,MARSHALL ISLANDS,Eniwetok Atoll,Free diving / Spearfishing,M,"No injury, shark made a threat display",N,2254
3740,Aug,1960,Unprovoked,USA,New Jersey,Swimming 3 miles offshore,M,Right leg severely lacerated,N,2253
3742,Aug,1960,Invalid,USA,Texas,Aircraft crashed into sea,M,"Partial human remains spotted by helicopter, shark involvement, if any, may have been post-mortum",Y,2251
3743,Aug,1960,Unprovoked,USA,Connecticut,Free diving,M,Superficial laceration of left arm,N,2250
3744,Aug,1960,Unprovoked,PAPUA NEW GUINEA,Milne Bay Province,Free-diving,M,Lost left arm,N,2249
3745,Aug,1960,Unprovoked,USA,New Jersey,,M,Knee ripped to bone,N,2248
3746,Aug,1960,Unprovoked,USA,New Jersey,Standing in knee-deep water,M,"Lower right leg bitten, surgically amputated 10 days later",N,2247
3748,Aug,1960,Provoked,USA,Florida,Holding shark on leader & dangling it above the water,M,Right hand bitten by hooked shark PROVOKED INCIDENT,N,2245
3749,Aug,1960,Provoked,ENGLAND,In the English Channel ,Helping angler land a shark,M,Arm lacerated elbow to wrist PROVOKED INCIDENT,N,2244
3750,Aug,1960,Unprovoked,USA,Delaware,"Fishing, Struck by another shark when removing shark from line",M,Hand lacerated,N,2243
3751,Aug,1960,Unprovoked,USA,South Carolina,Swimming from camp,M,FATAL,Y,2242
3752,Jul,1960,Unprovoked,PAPUA NEW GUINEA,Milne Bay Province,Spearfishing,M,"Arm severed, torso severely  lacerated",N,2241
3753,Jul,1960,Unprovoked,USA,Mississippi,Pulling raft out to ride to shore,M,Leg bitten,N,2240
3754,Jul,1960,Provoked,USA,Virginia,"Fishing, tossing netted shark onboard",M,Right arm bitten  PROVOKED INCIDENT,N,2239
3755,Jul,1960,Unprovoked,PAPUA NEW GUINEA,Madang,Fishing,M,Right buttock slashed,N,2238
3756,Jun,1960,Provoked,USA,South Carolina,Surf fishing,M,"Lacerations to calf, wrist & thumb by hooked shark. PROVOKED INCIDENT",N,2237
3758,Jun,1960,Provoked,NORTH SEA,"Unknown, treated at Wick, SCOTLAND",Fishing,M,Right arm bitten by shark taken onboard in net PROVOKED INCIDENT,N,2235
3759,Jun,1960,Unprovoked,USA,Florida,Scuba diving,M,"No injury, shark harrassed diver & attempted to bite his swimfins",N,2234
3760,Jun,1960,Invalid,USA,California,"Testing classified underwater electronic gear for Raytheon Corporation, vessel torn apart by explosion",M,"Legs & arms bitten, coroner unable to determine if injuries occurred before death.",N,2233
3761,Jun,1960,Unprovoked,PHILIPPINES,Corregidor Island,"Diving for shells, saw shark circling wife near the surface, intercepted shark & it pulled him beneath the water",M,"FATAL, body not recovered",Y,2232
3762,Jun,1960,Unprovoked,USA,Georgia,Swimming,M,Lower left leg & foot bitten,N,2231
3763,May,1960,Unprovoked,PANAMA,San Blas Islands,"Spearfishing, free diving, possibly ascended into path of cruising shark",M,Face lacerated,N,2230
3764,May,1960,Unprovoked,BERMUDA,Paget,Free diving but treading water at surface,M,Foot bitten,N,2229
